Date,NFLX,AAPL,TSLA
2018-02-06,18.02,2.05,1.752
2018-02-07,-2.02,-0.8875,1.202
2018-02-08,-16.98,-1.285,-5.616
2018-02-09,-4.38,-0.165,-1.902
2018-02-12,5.81,1.0525,-0.08
2018-02-13,0.98,0.5975,1.728
2018-02-14,5.53,1.0825,0.294
2018-02-15,10.24,0.8,1.914
2018-02-16,-0.21,0.0175,0.598
2018-02-20,0.81,-0.05,0.06001
2018-02-21,-1.03,-0.44,-0.546
2018-02-22,-5.74,0.175,2.128
2018-02-23,4.93,0.4575,0.844
2018-02-26,5.41,0.655,0.784
2018-02-27,-4.16,-0.1775,-1.052
2018-02-28,-1.72,-0.285,-1.902
2018-03-01,-2.36,-0.885,-2.816
2018-03-02,16.4,0.8525,1.628
2018-03-05,12.15,0.4025,0.192
2018-03-06,5.34,-0.31,-1.11
2018-03-07,1.16,0.0225,1.372
2018-03-08,-5.2,0.365,-0.752
2018-03-09,10.11,0.505,0.614
2018-03-12,-12.26,0.3575,3.38
2018-03-13,-7.99,-0.655,2.646
2018-03-14,3.39,-0.47,-2.026
2018-03-15,-2.08,0.0375,-0.756
2018-03-16,-2.97,-0.1575,-0.316
2018-03-19,-2.32,-0.505,-0.588
2018-03-20,4.24,0.0,-0.864
2018-03-21,0.13,-0.9425,1.256
2018-03-22,-6.37,-0.2875,-0.958
2018-03-23,-6.47,-0.8625,-1.942
2018-03-26,10.99,1.175,-0.632
2018-03-27,-21.8,-1.335,-4.964
2018-03-28,-12.62,-0.1925,-1.36
2018-03-29,8.35,-0.0075,1.928
2018-04-02,-11.65,0.01,-0.756
2018-04-03,-1.78,0.1875,-0.458
2018-04-04,15.31,1.6825,6.832
2018-04-05,0.82,0.055,3.276
2018-04-06,-0.25,-0.6475,-0.34
2018-04-09,-1.84,0.0425,-2.142
2018-04-10,0.39,0.0625,1.146
2018-04-11,0.79,0.0525,0.038
2018-04-12,-0.47,0.1825,-1.648
2018-04-13,-5.64,-0.0125,-0.652
2018-04-16,-8.21,0.1975,-1.558
2018-04-17,6.4,0.4375,-0.236
2018-04-18,-1.78,0.0075,0.454
2018-04-19,-0.18,-0.24,1.8
2018-04-20,-4.45,-1.22,-0.986
2018-04-23,-10.46,-0.3975,-1.584
2018-04-24,-12.2,-0.6825,-0.308
2018-04-25,-0.61,0.2575,-0.562
2018-04-26,3.98,0.025,1.346
2018-04-27,-4.49,-0.42,1.742
2018-04-30,1.39,0.7825,0.058
2018-05-01,2.94,0.6725,1.282
2018-05-02,1.71,0.335,0.516
2018-05-03,-0.9,0.2525,1.132
2018-05-04,11.38,1.395,2.218
2018-05-07,4.27,-0.005,1.054
2018-05-08,0.99,0.265,0.234
2018-05-09,1.51,0.2025,1.288
2018-05-10,-1.9,0.575,-0.496
2018-05-11,-3.19,-0.225,-1.328
2018-05-14,1.28,-0.215,-2.27
2018-05-15,0.19,-0.085,-0.166
2018-05-16,1.91,0.5275,0.53
2018-05-17,-2.31,-0.2525,-0.272
2018-05-18,-0.72,-0.22,-1.566
2018-05-21,4.71,-0.0925,0.632
2018-05-22,-2.43,-0.305,-2.55
2018-05-23,15.68,0.5025,0.262
2018-05-24,4.95,-0.155,-0.11
2018-05-25,1.39,0.0875,0.244
2018-05-29,-1.77,0.075,1.05
2018-05-30,1.17,-0.055,1.686
2018-05-31,-2.2,-0.0875,-0.496
2018-06-01,6.05,0.5625,1.192
2018-06-04,-0.87,0.0475,0.48
2018-06-05,2.48,0.06,-1.314
2018-06-06,-0.33,0.0875,3.8
2018-06-07,-7.14,-0.17,-0.012
2018-06-08,2.51,0.1325,-0.268
2018-06-11,-0.43,-0.03,1.918
2018-06-12,0.23,0.2225,-0.386
2018-06-13,12.4,-0.43,-0.386
2018-06-14,8.6,-0.1875,2.018
2018-06-15,1.27,-0.2975,0.86601
2018-06-18,2.68,0.215,3.086
2018-06-19,15.48,0.1375,-2.522
2018-06-20,1.61,0.0375,0.836
2018-06-21,-5.94,-0.4475,-2.898
2018-06-22,-8.89,-0.3,-3.582
2018-06-25,-20.21,-0.3075,0.578
2018-06-26,6.11,0.36,1.19
2018-06-27,-17.17,-0.2675,-0.1
2018-06-28,0.42,0.35,0.254
2018-06-29,-7.76,-0.295,-2.076
2018-07-02,12.73,0.84,-5.0
2018-07-03,-8.97,-0.9675,-4.178
2018-07-05,4.59,0.035,-0.92
2018-07-06,10.8,0.6375,0.79
2018-07-09,3.02,0.27,1.304
2018-07-10,-1.61,-0.09,-0.418
2018-07-11,7.31,-0.155,0.632
2018-07-12,-1.66,0.375,-0.944
2018-07-13,-13.39,0.0625,0.658
2018-07-16,1.5,-0.1525,-0.322
2018-07-17,32.53,0.425,2.776
2018-07-18,-6.11,-0.345,-0.23
2018-07-19,-6.83,0.5475,0.78
2018-07-20,-3.87,-0.085,-1.53
2018-07-23,3.51,0.2325,0.272
2018-07-24,-9.62,0.1375,-1.398
2018-07-25,5.3,0.44,2.4
2018-07-26,4.9,-0.1,0.36
2018-07-27,-11.64,-1.0025,-2.014
2018-07-30,-16.97,-0.4975,-1.146
2018-07-31,5.94,-0.0025,1.178
2018-08-01,2.51,0.5925,0.57
2018-08-02,7.27,1.7025,4.21999
2018-08-03,-4.66,0.24,0.07201
2018-08-06,8.05,0.2675,-0.694
2018-08-07,-1.4,-0.5525,7.146
2018-08-08,-4.6,0.3,0.25
2018-08-09,1.4,-0.1625,-2.62
2018-08-10,-1.04,0.0425,0.298
2018-08-13,1.42,-0.11,-0.944
2018-08-14,-4.6,-0.1025,-2.162
2018-08-15,-7.63,0.255,-0.644
2018-08-16,-7.46,0.3925,-0.89201
2018-08-17,-2.23,1.035,-3.6
2018-08-20,13.09,-0.66,3.348
2018-08-21,7.02,-0.44,2.258
2018-08-22,5.95,0.2375,0.154
2018-08-23,-8.94,0.21,0.192
2018-08-24,12.82,-0.11,0.424
2018-08-27,-2.57,0.1975,0.254
2018-08-28,1.26,0.1725,-1.31
2018-08-29,0.84,0.7075,-1.052
